slug,alias,weight
nasi-putih,nasi,0.80
nasi-putih,nasi putih,1.00
nasi-putih,sepiring nasi,0.90
nasi-putih,nasi anget,0.85
nasi-goreng,nasi goreng,1.00
nasi-goreng,nasgor,1.00
nasi-goreng,nasi goreng biasa,0.95
nasi-goreng,nasi goreng spesial,0.85
nasi-uduk,nasi uduk,1.00
nasi-uduk,uduk,0.90
nasi-uduk,nasi gurih,0.85
nasi-kuning,nasi kuning,1.00
nasi-kuning,sego kuning,0.90
nasi-kuning,nasi tumpeng,0.75
nasi-padang,nasi padang,1.00
nasi-padang,nasi pdg,0.90
nasi-padang,rumah makan padang,0.80
nasi-padang,nasi rames padang,0.85
lontong,lontong,1.00
lontong,ketupat,0.85
lontong,lontong sayur,0.80
bubur-ayam,bubur ayam,1.00
bubur-ayam,bubur,0.85
bubur-ayam,bubur ayam jakarta,0.90
ayam-goreng,ayam goreng,1.00
ayam-goreng,ayam kremes,0.90
ayam-goreng,ayam crispy,0.90
ayam-goreng,fried chicken,0.85
ayam-geprek,ayam geprek,1.00
ayam-geprek,geprek,1.00
ayam-geprek,ayam penyet,0.85
ayam-geprek,geprek sambal,0.90
ayam-bakar,ayam bakar,1.00
ayam-bakar,ayam panggang,0.90
ayam-bakar,ayam bakar madu,0.85
ayam-pop,ayam pop,1.00
ayam-pop,ayam pop padang,0.95
ayam-pop,ayam putih padang,0.80
rendang,rendang,1.00
rendang,rendang daging,1.00
rendang,daging rendang,0.95
rendang,rendang sapi,0.95
dendeng-balado,dendeng balado,1.00
dendeng-balado,dendeng,0.95
dendeng-balado,dendeng batokok,0.85
telur-dadar,telur dadar,1.00
telur-dadar,omelet,0.90
telur-dadar,dadar telur,0.95
telur-dadar,telor dadar,0.95
telur-ceplok,telur ceplok,1.00
telur-ceplok,telur mata sapi,0.95
telur-ceplok,telur goreng,0.90
telur-ceplok,telor ceplok,0.95
telur-rebus,telur rebus,1.00
telur-rebus,telur setengah matang,0.85
telur-rebus,telor rebus,0.95
telur-balado,telur balado,1.00
telur-balado,telur sambal,0.90
telur-balado,telor balado,0.95
lele-goreng,lele goreng,1.00
lele-goreng,ikan lele,0.90
lele-goreng,pecel lele,0.95
lele-goreng,lele,0.85
kembung-goreng,ikan kembung,1.00
kembung-goreng,kembung goreng,1.00
kembung-goreng,ikan goreng,0.70
sate-ayam,sate ayam,1.00
sate-ayam,sate,0.80
sate-ayam,sate madura,0.90
sate-kambing,sate kambing,1.00
sate-kambing,sate kambing muda,0.90
sate-kambing,sate domba,0.80
tempe-goreng,tempe goreng,1.00
tempe-goreng,tempe,0.90
tempe-goreng,tempe mendoan,0.80
tempe-goreng,tempe orek,0.70
tahu-goreng,tahu goreng,1.00
tahu-goreng,tahu,0.90
tahu-goreng,tahu putih goreng,0.90
bakwan,bakwan,1.00
bakwan,bakwan sayur,1.00
bakwan,bala-bala,0.90
bakwan,ote-ote,0.85
tahu-isi,tahu isi,1.00
tahu-isi,tahu berontak,0.85
tahu-isi,tahu bunting,0.80
